Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
500279,MIRCELECTR,B,5.16,5.30,5.10,5.23,16593,0.87,210
526650,TFCILTD,B,34.75,35.30,33.85,35.30,2504,0.87,43
513023,NBVENTURES,A,38.55,39.00,37.00,38.75,2102,0.81,46
532785,RUCHIRA,B,42.60,43.40,39.70,40.90,1960,0.81,24
532684,EKC,B,16.65,16.90,16.20,16.54,4804,0.80,33
514043,HIMATSEIDE,A,57.90,58.60,56.10,58.05,1384,0.80,78
526235,MERCATOR,T,0.59,0.59,0.57,0.57,139452,0.80,53
506579,ORIENTCQ,B,607.00,618.85,607.00,612.80,130,0.80,19
519552,HERITGFOOD,A,287.20,292.75,281.65,289.80,270,0.78,97
532725,SOLARINDS,A,860.15,893.50,856.30,890.30,88,0.77,53
532156,VAIBHAVGBL,B,895.95,930.00,860.00,915.60,86,0.77,19
532741,KAMDHENU,B,55.05,55.05,53.00,53.65,1439,0.77,33
534425,SPECIALITY,B,30.85,30.85,28.20,28.60,2657,0.77,47
539150,PNCINFRA,A,123.50,123.50,123.50,123.50,619,0.76,26
524500,KILITCH,B,101.15,101.70,100.10,101.45,731,0.74,40
520111,RATNAMANI,B,871.05,890.00,871.05,889.30,83,0.73,23
532527,RKFORGE*,B,188.00,197.00,187.85,193.85,389,0.73,23
517271,HBLPOWER,B,13.00,13.32,12.78,13.05,5286,0.69,90
533292,A2ZINFRA,B,4.74,4.74,4.35,4.45,15356,0.69,39
532698,NITINSPIN,B,32.00,32.30,31.65,32.15,2133,0.68,149
532699,ROHLTD,B,41.80,47.65,41.80,45.45,1522,0.68,90
503960,BBL,B,658.05,671.20,658.05,664.70,101,0.67,39
539289,MJCO,B,260.10,260.10,259.65,259.65,255,0.66,8
532722,NITCO,B,18.35,18.60,17.86,17.86,3618,0.66,22
542665,NEOGEN,T,396.45,402.00,385.00,400.65,167,0.66,13
530377,NILA,B,3.25,3.74,3.08,3.10,19172,0.64,50
537291,NATHBIOGEN,B,208.55,219.00,208.05,218.40,298,0.63,23
509567,GOACARBON,B,220.30,220.30,220.30,220.30,288,0.63,16
530073,SANGHVIMOV,B,65.15,65.15,59.30,61.90,986,0.61,27
530075,SELAN,B,82.20,82.20,82.20,82.20,734,0.60,14
501831,COASTCORP,X,190.00,199.95,190.00,193.25,298,0.58,53
532259,APARINDS,B,300.25,302.60,290.05,294.75,192,0.57,81
532642,JSWHL,B,1600.00,1632.80,1600.00,1620.80,35,0.57,29
502330,ANDHRAPAP,B,185.00,185.00,182.70,182.70,304,0.56,8
542141,TECHNOE,B,228.70,228.70,207.35,212.00,254,0.56,10
500407,SWARAJENG,B,943.85,1003.45,943.50,990.90,56,0.55,23
533655,TRITURBINE,A,64.15,69.25,64.15,67.40,814,0.54,43
532646,UNIPLY,B,7.52,7.52,7.52,7.52,7066,0.53,16
538562,SKIPPER,B,26.10,27.30,26.00,26.05,1994,0.53,13
503031,PENINLAND,B,3.65,3.65,3.36,3.36,15765,0.53,13
532944,ONMOBILE,B,24.50,24.70,24.30,24.70,2095,0.52,14
539940,MAXVIL,B,29.00,29.00,29.00,29.00,1800,0.52,3
512531,STCINDIA,B,38.40,39.20,38.40,38.80,1311,0.51,58
532395,AXISCADES,B,40.00,40.75,39.95,40.15,1142,0.46,94
532768,FIEMIND,B,293.55,295.25,280.00,292.00,158,0.45,32
542771,NOVATEOR,M,7.43,7.43,7.43,7.43,6000,0.45,1
533303,BFINVEST,B,230.60,244.00,230.60,239.75,183,0.44,59
509079,GUFICBIO,B,62.00,63.30,61.85,62.05,710,0.44,43
542460,ANUP,B,299.00,299.00,288.00,289.85,153,0.44,55
517206,LUMAXIND,B,1057.00,1059.45,1051.00,1059.45,41,0.43,10
523025,SAFARIND,B,376.75,404.50,376.75,395.00,100,0.39,20
531266,VSTTILLERS,B,829.95,840.10,805.00,838.90,47,0.38,7
500350,RSWM,B,74.35,74.35,70.80,72.25,517,0.37,42
542683,SUICH,MT,10.87,11.39,10.87,11.39,3200,0.36,2
500117,DCW,B,9.70,10.00,9.70,10.00,3571,0.35,14
533121,EXPLEOSOL,B,165.00,165.00,160.00,160.00,215,0.35,24
